"mystops" "myarrests" "myprecinct" "myeth"
202 980 1 1
102 295 1 2
81 381 1 3
132 753 2 1
144 557 2 2
71 431 2 3
752 2188 3 1
441 627 3 2
410 1238 3 3
385 471 4 1
897 896 4 2
129 446 4 3
517 1719 5 1
812 1915 5 2
271 1724 5 3
635 808 6 1
445 571 6 2
217 388 6 3
301 1046 7 1
161 570 7 2
187 684 7 3
925 5667 8 1
435 2550 8 2
212 1491 8 3
144 320 9 1
91 212 9 2
50 247 9 3
560 1467 10 1
453 963 10 2
143 889 10 3
387 739 11 1
239 505 11 2
212 730 11 3
398 588 12 1
269 317 12 2
217 311 12 3
1056 1411 13 1
1079 1484 13 2
80 238 13 3
478 1292 14 1
588 1019 14 2
99 276 14 3
1365 2000 15 1
859 1098 15 2
149 261 15 3
659 1281 16 1
269 371 16 2
37 106 16 3
825 3527 17 1
75 343 17 2
46 110 17 3
1126 5103 18 1
1118 2773 18 2
115 466 18 3
1163 3497 19 1
124 242 19 2
24 63 19 3
470 2002 20 1
963 3280 20 2
133 1763 20 3
243 865 21 1
1267 2766 21 2
103 892 21 3
1837 1870 22 1
2129 2693 22 2
64 266 22 3
840 1598 23 1
1355 2919 23 2
139 820 23 3
1731 1628 24 1
873 1079 24 2
18 98 24 3
1942 2719 25 1
1666 2853 25 2
77 408 25 3
886 3747 26 1
636 3174 26 2
19 210 26 3
711 481 27 1
641 422 27 2
653 439 27 3
414 3466 28 1
479 3967 28 2
9 338 28 3
2392 2967 29 1
390 501 29 2
106 381 29 3
946 1999 30 1
1126 2767 30 2
85 416 30 3
631 497 31 1
781 612 31 2
393 398 31 3
345 389 32 1
571 490 32 2
125 227 32 3
1065 1580 33 1
1692 2091 33 2
209 447 33 3
1519 1144 34 1
745 764 34 2
546 801 34 3
207 335 35 1
119 169 35 2
398 1045 35 3
118 117 36 1
298 259 36 2
773 850 36 3
733 661 37 1
58 90 37 2
206 327 37 3
321 261 38 1
824 647 38 2
663 480 38 3
2371 5648 39 1
53 186 39 2
40 139 39 3
60 80 40 1
354 250 40 2
445 615 40 3
1554 973 41 1
178 78 41 2
247 163 41 3
2179 2733 42 1
334 559 42 2
166 455 42 3
1564 3459 43 1
70 262 43 2
11 115 43 3
159 229 44 1
1353 2103 44 2
157 588 44 3
2705 4540 45 1
233 476 45 2
15 74 45 3
2353 4436 46 1
983 2249 46 2
107 588 46 3
522 689 47 1
366 474 47 2
113 180 47 3
1495 3943 48 1
68 166 48 2
11 44 48 3
530 531 49 1
400 679 49 2
111 239 49 3
2771 4411 50 1
246 572 50 2
37 71 50 3
1127 2973 51 1
74 343 51 2
7 97 51 3
918 1844 52 1
1118 2875 52 2
80 591 52 3
918 1985 53 1
237 468 53 2
61 293 53 3
855 2069 54 1
125 312 54 2
15 48 54 3
349 695 55 1
738 1813 55 2
53 343 55 3
114 179 56 1
275 475 56 2
183 415 56 3
621 453 57 1
118 127 57 2
117 232 57 3
2220 1761 58 1
311 320 58 2
140 156 58 3
405 620 59 1
547 597 59 2
195 483 59 3
2500 4209 60 1
388 682 60 2
53 265 60 3
287 320 61 1
767 950 61 2
571 789 61 3
1400 1668 62 1
117 134 62 2
118 212 62 3
675 733 63 1
331 369 63 2
242 354 63 3
817 602 64 1
274 211 64 2
260 232 64 3
386 292 65 1
1359 801 65 2
545 395 65 3
779 491 66 1
1266 554 66 2
896 572 66 3
300 573 67 1
1898 2057 67 2
232 375 67 3
323 139 68 1
204 98 68 2
582 379 68 3
354 328 69 1
373 276 69 2
540 446 69 3
2419 3172 70 1
43 227 70 2
14 154 70 3
1034 1085 71 1
966 849 71 2
922 1064 71 3
702 790 72 1
2467 2166 72 2
391 438 72 3
2492 3468 73 1
521 963 73 2
637 1427 73 3
197 399 74 1
234 282 74 2
896 1493 74 3
7 16 75 1
20 44 75 2
295 312 75 3
